"","ensembl_id","gene_name"
"144","ENSMUSG00000026083","Eif5b"
"145","ENSMUSG00000026082","Rev1"
"146","ENSMUSG00000037138","Aff3"
"147","ENSMUSG00000048814","Lonrf2"
"148","ENSMUSG00000026080","Chst10"
"149","ENSMUSG00000067604","Nms"
"150","ENSMUSG00000026078","Pdcl3"
"151","ENSMUSG00000026077","Npas2"
"152","ENSMUSG00000073702","Rpl31"
"153","ENSMUSG00000003134","Tbc1d8"
"154","ENSMUSG00000003135","Cnot11"
"155","ENSMUSG00000048234","Rnf149"
"156","ENSMUSG00000050967","Creg2"
"157","ENSMUSG00000057173","Rfx8"
"158","ENSMUSG00000026074","Map4k4"
"159","ENSMUSG00000026073","Il1r2"
"160","ENSMUSG00000026072","Il1r1"
"161","ENSMUSG00000070942","Il1rl2"
"162","ENSMUSG00000026069","Il1rl1"
"163","ENSMUSG00000026070","Il18r1"
"164","ENSMUSG00000026068","Il18rap"
"165","ENSMUSG00000026065","Slc9a4"
"166","ENSMUSG00000026062","Slc9a2"
"167","ENSMUSG00000041945","Mfsd9"
"168","ENSMUSG00000079588","Tmem182"
"169","ENSMUSG00000045515","Pou3f3"
"170","ENSMUSG00000060679","Mrps9"
"171","ENSMUSG00000041907","Gpr45"
"172","ENSMUSG00000070939","Tgfbrap1"
"173","ENSMUSG00000010290","AI597479"
"174","ENSMUSG00000008136","Fhl2"
"175","ENSMUSG00000066877","Nck2"
"176","ENSMUSG00000026051","1500015O10Rik"
"177","ENSMUSG00000057363","Uxs1"
"178","ENSMUSG00000041763","Tpp2"
"179","ENSMUSG00000047343","Mettl21c"
"180","ENSMUSG00000091844","Gm8251"
"181","ENSMUSG00000026049","Tex30"
"182","ENSMUSG00000026047","Kdelc1"
"183","ENSMUSG00000041684","Bivm"
"184","ENSMUSG00000026048","Ercc5"
"185","ENSMUSG00000046828","Mettl21e"
"186","ENSMUSG00000056870","Gulp1"
"187","ENSMUSG00000026043","Col3a1"
"188","ENSMUSG00000026042","Col5a2"
"189","ENSMUSG00000025995","Wdr75"
"190","ENSMUSG00000025993","Slc40a1"
"191","ENSMUSG00000041144","Dnah7b"
"192","ENSMUSG00000101337","Dnah7c"
"193","ENSMUSG00000025986","Slc39a10"
"194","ENSMUSG00000026109","Tmeff2"
"195","ENSMUSG00000045954","Sdpr"
"196","ENSMUSG00000026107","Nabp1"
"197","ENSMUSG00000018417","Myo1b"
"198","ENSMUSG00000062939","Stat4"
"199","ENSMUSG00000026104","Stat1"
"200","ENSMUSG00000026103","Gls"
"201","ENSMUSG00000002881","Nab1"
